# CLASSIFICAÇÃO DE CANAIS PARA NEWSLETTER
#
# INSTRUÇÕES:
# 1. Escreva na frente de cada canal: person | company | community
# 2. Deixe em branco para EXCLUIR o canal da newsletter
#
# EXEMPLOS:
# Kurzgesagt – In a Nutshell | company
# 3Blue1Brown | person
# AI Explained | community
# Manual do Mundo |           (deixar em branco = não incluir)
#
# TOTAL: 238 canais
#
================================================================================

1littlecoder                                                 |   # 107,000 subs | @1littlecoder PERSON 
Lussorich Movie PT                                           |   # 15,000 subs | @lussorichmovie_pt
MacMagazine                                                  |   # 199,000 subs | @macmagazine
MacVince                                                     |   # 161,000 subs | @macvince
ManuAGI - AutoGPT Tutorials                                  |   # 35,100 subs | @manuagi
Manual de Inteligência Artificial                            |   # 36,500 subs | @manualdeia
Manual do Mundo                                              |   # 19,800,000 subs | @manualdomundo
massiveattack                                                |   # 760,000 subs | @massiveattack
Matt Williams                                                |   # 87,300 subs | @technovangelist
Matt Wolfe                                                   |   # 864,000 subs | @mreflow
Matthew Berman                                               |   # 529,000 subs | @matthew_berman
Me Poupe!                                                    |   # 7,710,000 subs | @mepoupe
Melhores Destinos                                            |   # 533,000 subs | @melhoresdestinos
Mervin Praison                                               |   # 76,600 subs | @mervinpraison
Microsoft                                                    |   # 2,180,000 subs | @microsoft
Microsoft Azure                                              |   # 351,000 subs | @microsoftazure
Microsoft Power Platform                                     |   # 76,000 subs | @mspowerplatform
Mike Russell                                                 |   # 383,000 subs | @mikerussell
Mohamad Hindi                                                |   # 3,170,000 subs | @mohindi
Motovida                                                     |   # 276,000 subs | @motoviida
Mozilla Developer                                            |   # 31,100 subs | @mozilladeveloper
MundoReview                                                  |   # 13,800 subs | @omundoreview
n8n                                                          |   # 193,000 subs | @n8n-io
Neo4j                                                        |   # 58,200 subs | @neo4j
Nerd Land                                                    |   # 3,020,000 subs | @nerdland
NerdVerso Cast                                               |   # 19,700 subs | @nerdversocast
Netão Bom Beef                                               |   # 1,360,000 subs | netaobombeef
Neurologia e Psiquiatria                                     |   # 1,730,000 subs | @neurologiaepsiquiatria
NeuroVox                                                     |   # 3,630,000 subs | @neurovox
Newcious                                                     |   # 363,000 subs | @newcious
NoCode StartUp                                               |   # 124,000 subs | @nocodestartup
Olá, Ciência!                                                |   # 2,460,000 subs | @olaciencia
omeleteve                                                    |   # 2,610,000 subs | @omeleteve
Onde eu Clico                                                |   # 399,000 subs | @ondeeuclico
OpenAI                                                       |   # 1,890,000 subs | @openai
Osvaldo L. Santos-Pereira                                    |   # 232 subs | @ozlsp12
Pai Nerd Filho Nerd                                          |   # 150,000 subs | @painerdfilhonerd
Paula Bernardes                                              |   # 164,000 subs | @paulabernardes
Piktochart                                                   |   # 13,600 subs | @piktochartvideo
Pinecone                                                     |   # 12,600 subs | @pinecone-io
PIPA                                                         |   # 584,000 subs | @pipa3642
Pollen Robotics                                              |   # 4,460 subs | @pollenrobotics
Primeiro Contato                                             |   # 4,730 subs | @primeirocontatoscifi
Primo Pobre                                                  |   # 3,920,000 subs | @primopobre
ProativaMente                                                |   # 665,000 subs | @proativamente
Professor Julio Lombaldo                                     |   # 72,000 subs | @professorjuliolombaldo
Prompt Engineer                                              |   # 19,200 subs | @promptengineer48
Prompt Engineering                                           |   # 228,000 subs | @engineerprompt
Psiquiatra Fernando Fernandes                                |   # 522,000 subs | @psiquiatrafernandofernandes
Rakesh Gohel                                                 |   # 3,310 subs | @gohelrakesh
Receitas Low Carb para Diabéticos                            |   # 692,000 subs | receitaslowcarbparadiabeticos
Reda Marzouk                                                 |   # 13,300 subs | @redamarzouk
RejuveAI                                                     |   # 1,490 subs | @rejuveai
RenovadaMente                                                |   # 207,000 subs | @renovadamente-oficial
Replit                                                       |   # 95,100 subs | @replit
Rhavi Criador Digital                                        |   # 14,100 subs | @ocriadordigital
Riley Brown                                                  |   # 162,000 subs | @rileybrownai
Rob Boliver - Como usar o CANVA                              |   # 584,000 subs | @rob.boliver
Rob The AI Guy                                               |   # 81,400 subs | @realrobtheaiguy
Rodrigo Celoto                                               |   # 2,950 subs | @rodrigoceloto
Ronaldo Gotlib - Advogado                                    |   # 50,500 subs | @ronaldogotlib
Ronnald Hawk                                                 |   # 13,300 subs | @ronnaldhawk
Runway                                                       |   # 121,000 subs | @runwayml
Sam Witteveen                                                |   # 111,000 subs | @samwitteveenai
Sancler Miranda                                              |   # 125,000 subs | @sanclermiranda
SejaUmaPessoaMelhor                                          |   # 3,120,000 subs | @sejaumapessoamelhor
SejaUmEstudanteMelhor                                        |   # 381,000 subs | @sejaumestudantemelhor
sentdex                                                      |   # 1,430,000 subs | @sentdex
Sessão Nerd                                                  |   # 2,630,000 subs | sessaonerdoficial
Shira Ananda                                                 |   # 917 subs | @shiraananda369
Sim AI                                                       |   # 1,270 subs | @simdotai
SimpleMindMap                                                |   # 72,500 subs | @simplemindmap1
SingularityNET                                               |   # 31,500 subs | @singularitynet
Siraj Raval                                                  |   # 775,000 subs | @sirajraval
Skill Leap AI                                                |   # 309,000 subs | @skillleapai
somos míopes porque somos breves                             |   # 149,000 subs | @julianorighetto
Sophia the Robot                                             |   # 73,100 subs | @sophiatherobot
Star Wars Theory                                             |   # 3,310,000 subs | @starwarstheory
Stargaze                                                     |   # 452,000 subs | @stargaze_youtube
StarMorph AI                                                 |   # 10,900 subs | @starmorph
StatQuest with Josh Starmer                                  |   # 1,540,000 subs | @statquest
storytelling with data                                       |   # 73,300 subs | @storytellingwithdata
Strategyzer                                                  |   # 109,000 subs | @strategyzer
Synthesia                                                    |   # 78,000 subs | @synthesia-io
Synthflow AI                                                 |   # 3,610 subs | @synthflowai
Tech With Tim                                                |   # 1,910,000 subs | @techwithtim
TecMundo                                                     |   # 4,170,000 subs | @tecmundo
TecnoArt                                                     |   # 2,070,000 subs | @tecnoart101
Tem Ciência                                                  |   # 212,000 subs | temciencia
The Artificial Intelligence Channel                          |   # 119,000 subs | @maaaarth
The Gray Cat                                                 |   # 2,510 subs | @thegraytcat
The PyCoach                                                  |   # 42,500 subs | @thepycoach
Theoretically Media                                          |   # 173,000 subs | @theoreticallymedia
Thesys                                                       |   # 1,460 subs | @thesysdev
Thu Vu                                                       |   # 326,000 subs | @thuvu5
Tiago Forte                                                  |   # 372,000 subs | @tiagoforte
Tiago Lemos                                                  |   # 116,000 subs | @tiagolemosx
Tim Carambat                                                 |   # 31,800 subs | @timcarambat
Together AI                                                  |   # 4,000 subs | @togetherdotai
TVDJ - Respect The DJs                                       |   # 703 subs | @tvdjbr
Two Minute Papers                                            |   # 1,750,000 subs | @twominutepapers
Tyler & Snowi                                                |   # 5,270,000 subs | @tylerandsnowi
Underfitted                                                  |   # 60,400 subs | @underfitted
Unitree Robotics                                             |   # 1,290,000 subs | @unitreerobotics
Universe of AI                                               |   # 10,800 subs | @universeofaiz
VAST Data                                                    |   # 7,850 subs | @vastdata
Visually Explained                                           |   # 58,400 subs | @visuallyexplainededucation
Vogalizando a História                                       |   # 1,300,000 subs | @vogalizandoahistoria
Weaviate vector database                                     |   # 12,800 subs | @weaviate
Well Pires                                                   |   # 32,700 subs | @wellpiresai
Wes Roth                                                     |   # 303,000 subs | @wesroth
Windsurf                                                     |   # 19,000 subs | @windsurf
World of Crypto                                              |   # 702 subs | @worldzofcrypto
WorldofAI                                                    |   # 176,000 subs | @intheworldofai
